Index,Variant,"Major area, region, country or area *",Notes,Country code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
1,Estimates,WORLD,,900,23.5,23.1,22.6,21.9,21.5,21.8,22.5,23.3,24.0,25.1,26.3,27.4,28.5,29.6
2,Estimates,More developed regions,a,901,28.5,29.0,29.5,29.9,30.6,30.9,31.9,33.1,34.4,35.8,37.3,38.7,40.0,41.2
3,Estimates,Less developed regions,b,902,21.4,20.6,20.0,19.1,18.8,19.2,19.9,20.8,21.7,22.8,24.0,25.1,26.4,27.8
4,Estimates,Least developed countries,c,941,19.3,19.1,18.7,18.3,17.9,17.7,17.5,17.4,17.5,17.8,18.2,18.6,19.1,19.7
5,Estimates,"Less developed regions, excluding least developed countries",d,934,21.6,20.8,20.2,19.2,18.9,19.4,20.2,21.3,22.3,23.6,25.1,26.4,27.9,29.3
6,Estimates,"Less developed regions, excluding China",,948,20.4,20.0,19.6,18.9,18.6,18.8,19.2,19.6,20.2,21.0,21.9,23.0,24.1,25.2
7,Estimates,High-income countries,e,1503,28.0,28.4,28.8,28.9,29.3,29.6,30.6,31.8,33.0,34.4,36.0,37.3,38.4,39.7
8,Estimates,Middle-income countries,e,1517,21.9,21.1,20.5,19.5,19.1,19.6,20.3,21.2,22.1,23.4,24.8,26.1,27.5,28.9
9,Estimates,Upper-middle-income countries,e,1502,22.6,21.4,20.6,19.4,19.1,19.8,21.0,22.4,23.7,25.6,27.8,30.1,31.8,33.5
10,Estimates,Lower-middle-income countries,e,1501,21.1,20.8,20.3,19.6,19.2,19.3,19.6,19.9,20.4,21.1,22.0,23.0,24.2,25.3
11,Estimates,Low-income countries,e,1500,18.9,18.8,18.6,18.4,18.0,17.8,17.8,17.6,17.5,17.5,17.5,17.7,18.0,18.5
12,Estimates,Sub-Saharan Africa,f,947,19.1,18.8,18.6,18.2,17.9,17.6,17.4,17.2,17.2,17.4,17.6,17.7,18.0,18.3
13,Estimates,AFRICA,,903,19.3,19.0,18.6,18.2,17.9,17.7,17.6,17.5,17.6,18.0,18.3,18.7,19.1,19.4
14,Estimates,Eastern Africa,,910,18.4,18.2,17.8,17.4,17.2,16.9,16.8,16.6,16.6,16.8,16.9,17.1,17.5,18.0
15,Estimates,Burundi,,108,19.5,18.9,18.4,17.7,17.2,17.1,17.6,17.1,16.2,15.3,15.5,16.9,17.7,17.6
16,Estimates,Comoros,,174,21.2,20.4,19.4,18.2,17.4,17.3,17.2,16.9,16.7,17.0,17.6,18.4,19.1,19.7
