,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2015 Revision,,,,,,,,,,,,,,,,,
"File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2015/POP/F02,,,,,,,,,,,,,,,,,
July 2015 - Copyright © 2015 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Average annual rate of population change (percentage),,,,,,,,,,,,
Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1,Estimates,WORLD,,900,1.77,1.80,1.92,2.06,1.96,1.78,1.78,1.80,1.54,1.32,1.24,1.22,1.18
2,Estimates,More developed regions,a,901,1.19,1.17,1.08,0.85,0.77,0.65,0.58,0.55,0.44,0.32,0.34,0.40,0.29
3,Estimates,Less developed regions,b,902,2.03,2.08,2.28,2.53,2.39,2.16,2.15,2.16,1.84,1.57,1.46,1.40,1.36
4,Estimates,Least developed countries,c,941,1.95,2.22,2.39,2.56,2.35,2.48,2.55,2.66,2.75,2.54,2.50,2.36,2.38
5,Estimates,"Less developed regions, excluding least developed countries",d,934,2.04,2.07,2.26,2.53,2.39,2.12,2.10,2.09,1.70,1.42,1.29,1.24,1.18
6,Estimates,"Less developed regions, excluding China",,948,2.08,2.35,2.45,2.46,2.45,2.42,2.43,2.29,2.07,1.90,1.77,1.69,1.63
7,Estimates,High-income countries,e,1503,1.30,1.32,1.23,0.99,0.93,0.84,0.79,0.75,0.67,0.58,0.59,0.69,0.52
8,Estimates,Middle-income countries,e,1517,2.01,2.01,2.21,2.48,2.33,2.09,2.08,2.08,1.70,1.41,1.28,1.21,1.18
9,Estimates,Upper-middle-income countries,e,1502,2.11,1.86,2.12,2.62,2.32,1.81,1.76,1.90,1.36,0.97,0.85,0.80,0.82
10,Estimates,Lower-middle-income countries,e,1501,1.90,2.16,2.31,2.34,2.35,2.40,2.41,2.25,2.03,1.83,1.67,1.56,1.48
11,Estimates,Low-income countries,e,1500,1.68,2.11,2.23,2.45,2.46,2.28,2.37,2.64,2.83,2.69,2.73,2.69,2.69
12,Estimates,Sub-Saharan Africa,f,947,1.97,2.19,2.39,2.53,2.66,2.78,2.81,2.81,2.72,2.63,2.66,2.73,2.71
13,Estimates,AFRICA,,903,2.08,2.30,2.45,2.54,2.61,2.75,2.81,2.77,2.63,2.44,2.45,2.53,2.55
14,Estimates,Eastern Africa,,910,2.21,2.41,2.62,2.78,2.85,2.94,2.93,2.99,2.56,2.82,2.75,2.82,2.81
